order_id,order_placement_date,customer_id,product_id,order_qty,agreed_delivery_date,actual_delivery_date,delivery_qty,In Full,On Time,On Time In Full
FJUN61321403,2025-05-17,789321,25891203,141,2025-06-01,2025-06-01,141,1,1,1
FMY530321203,2025-05-17,789321,25891203,220,2025-05-30,2025-05-31,220,1,0,0
FMY531321603,2025-05-17,789321,25891302,97,2025-05-31,2025-05-31,97,1,1,1
FJUN61603301,2025-05-17,789603,25891203,109,2025-06-01,2025-06-02,109,1,1,1
FMY531603302,2025-05-17,789603,25891302,85,2025-06-01,2025-06-01,85,1,1,1
FJUN61102203,2025-05-17,789102,25891203,109,2025-05-31,2025-05-31,109,1,1,1
FJUN61103501,2025-05-17,789103,25891203,336,2025-06-01,2025-06-01,336,1,1,1
FJUN61121203,2025-05-17,789121,25891203,287,2025-06-01,2025-06-01,287,1,1,1
FMY531703601,2025-05-17,789703,25891203,181,2025-05-30,2025-05-30,181,1,1,1
FJUN61202602,2025-05-17,789202,25891203,439,2025-05-31,2025-05-31,395,0,1,0
FMY531202303,2025-05-17,789202,25891302,80,2025-06-01,2025-06-01,80,1,1,1
FMY531521301,2025-05-17,789521,25891203,477,2025-05-31,2025-05-31,477,1,0,0
FJUN61521203,2025-05-17,789521,25891203,424,2025-05-31,2025-06-03,403,0,0,0
FJUN61721502,2025-05-17,789721,25891203,122,2025-06-01,2025-06-01,122,1,1,1
FMY531221203,2025-05-17,789221,25891203,159,2025-05-31,2025-06-02,159,1,1,1
FMY531303301,2025-05-17,789303,25891203,384,2025-05-31,2025-05-31,384,1,1,1
FMY531303302,2025-05-17,789303,25891302,61,2025-06-01,2025-06-01,55,0,0,0
FJUN61303503,2025-05-17,789303,25891302,43,2025-05-31,2025-05-31,43,1,1,1
FMY531522203,2025-05-17,789522,25891203,500,2025-05-31,2025-06-02,500,1,0,0
FJUN61522502,2025-05-17,789522,25891203,379,2025-06-01,2025-06-03,379,1,0,0
FJUN61403203,2025-05-17,789403,25891203,378,2025-06-01,2025-06-01,378,1,0,0
FMY530503602,2025-05-17,789503,25891203,152,2025-05-31,2025-05-30,152,1,1,1
FJUN61902203,2025-05-17,789902,25891203,171,2025-05-30,2025-05-29,162,0,1,0
FJUN61622302,2025-05-17,789622,25891302,86,2025-05-31,2025-06-02,86,1,1,1
FMY531621403,2025-05-17,789621,25891302,78,2025-05-31,2025-05-31,78,1,1,1
FMY531203302,2025-05-17,789203,25891302,22,2025-05-31,2025-05-31,22,1,0,0
FJUN61522601,2025-05-17,789522,25891302,46,2025-05-31,2025-06-01,46,1,0,0
FMY531121303,2025-05-17,789121,25891302,45,2025-06-01,2025-06-01,45,1,0,0
FMY530903402,2025-05-17,789903,25891302,82,2025-05-31,2025-06-03,74,0,1,0
FMY531721502,2025-05-17,789721,25891301,89,2025-06-01,2025-06-03,85,0,1,0
FMY530703602,2025-05-17,789703,25891301,78,2025-06-01,2025-06-04,78,1,1,1
FMY531102503,2025-05-17,789102,25891301,38,2025-05-30,2025-05-30,36,0,1,0
FJUN61621602,2025-05-17,789621,25891602,75,2025-05-30,2025-05-30,67,0,1,0
FMY530703602,2025-05-17,789703,25891102,302,2025-06-01,2025-06-01,302,1,1,1
FMY530702401,2025-05-17,789702,25891102,355,2025-06-01,2025-06-01,319,0,1,0
FJUN61621602,2025-05-17,789621,25891102,448,2025-05-31,2025-05-31,448,1,1,1
FMY530603102,2025-05-17,789603,25891102,437,2025-05-31,2025-06-03,437,1,1,1
FMY530203102,2025-05-17,789203,25891102,480,2025-05-31,2025-05-31,432,0,0,0
FMY530102502,2025-05-17,789102,25891502,230,2025-06-01,2025-06-02,230,1,1,1
FMY531102503,2025-05-17,789102,25891502,193,2025-05-31,2025-06-01,183,0,1,0
FMY531122502,2025-05-17,789122,25891502,233,2025-05-30,2025-05-30,233,1,0,0
FJUN61203502,2025-05-17,789203,25891502,222,2025-05-31,2025-05-31,222,1,1,1
FMY530903502,2025-05-17,789903,25891502,161,2025-05-30,2025-05-30,129,0,0,0
FMY531903502,2025-05-17,789903,25891502,198,2025-05-30,2025-05-30,198,1,1,1
FJUN61903502,2025-05-17,789903,25891502,204,2025-05-31,2025-05-31,163,0,1,0
FMY530603503,2025-05-17,789603,25891502,108,2025-05-31,2025-05-31,86,0,1,0
FMY530902502,2025-05-17,789902,25891502,185,2025-05-30,2025-05-29,185,1,0,0
FMY530503602,2025-05-17,789503,25891502,203,2025-06-01,2025-06-01,203,1,1,1
FMY530703602,2025-05-17,789703,25891502,242,2025-05-31,2025-06-03,242,1,1,1
FMY530721502,2025-05-17,789721,25891502,153,2025-05-30,2025-05-30,153,1,1,1
FMY531721502,2025-05-17,789721,25891502,214,2025-05-30,2025-05-30,171,0,1,0
FJUN61721502,2025-05-17,789721,25891502,184,2025-05-30,2025-05-30,175,0,1,0
FMY531403603,2025-05-17,789403,25891502,179,2025-05-31,2025-05-30,179,1,1,1
FMY530221502,2025-05-17,789221,25891502,207,2025-05-31,2025-05-31,207,1,1,1
FJUN61221502,2025-05-17,789221,25891502,249,2025-06-01,2025-06-01,249,1,1,1
FMY531421502,2025-05-17,789421,25891502,201,2025-06-01,2025-06-01,181,0,1,0
FJUN61522502,2025-05-17,789522,25891502,189,2025-05-30,2025-05-29,189,1,0,0
FMY531621403,2025-05-17,789621,25891403,455,2025-05-30,2025-06-01,455,1,1,1
FJUN61321403,2025-05-17,789321,25891403,474,2025-05-30,2025-05-30,474,1,1,1
FMY531902403,2025-05-17,789902,25891403,495,2025-05-31,2025-05-31,445,0,1,0
FJUN61221502,2025-05-17,789221,25891403,418,2025-05-31,2025-06-01,397,0,1,0
FMY530521403,2025-05-17,789521,25891403,425,2025-05-30,2025-05-30,425,1,0,0
FMY530522403,2025-05-17,789522,25891403,358,2025-06-01,2025-06-01,358,1,1,1
FMY530622603,2025-05-17,789622,25891403,271,2025-06-01,2025-06-02,271,1,1,1
FMY530622603,2025-05-17,789622,25891503,213,2025-06-01,2025-06-01,213,1,1,1
FMY530121602,2025-05-17,789121,25891503,241,2025-05-30,2025-05-31,229,0,0,0
FMY531403603,2025-05-17,789403,25891503,179,2025-05-31,2025-05-30,170,0,1,0
FMY531503503,2025-05-17,789503,25891503,120,2025-06-01,2025-05-31,108,0,1,0
FMY531521503,2025-05-17,789521,25891503,122,2025-05-30,2025-05-30,122,1,0,0
FMY531221503,2025-05-17,789221,25891503,165,2025-05-30,2025-05-31,165,1,1,1
FMY531703601,2025-05-17,789703,25891503,236,2025-05-30,2025-05-30,236,1,1,1
FMY530603503,2025-05-17,789603,25891503,187,2025-05-30,2025-05-30,187,1,1,1
FMY531102503,2025-05-17,789102,25891503,240,2025-05-30,2025-05-30,240,1,1,1
FJUN61721503,2025-05-17,789721,25891503,111,2025-05-31,2025-05-31,111,1,0,0
FJUN61303503,2025-05-17,789303,25891503,127,2025-05-30,2025-05-30,127,1,1,1
FMY531903303,2025-05-17,789903,25891103,468,2025-05-31,2025-05-31,468,1,1,1
FJUN61703103,2025-05-17,789703,25891103,413,2025-06-01,2025-06-01,413,1,1,1
FJUN61521103,2025-05-17,789521,25891103,323,2025-05-31,2025-05-31,258,0,1,0
FMY531221503,2025-05-17,789221,25891103,492,2025-05-30,2025-05-30,492,1,1,1
FMY531103103,2025-05-17,789103,25891103,451,2025-06-01,2025-06-01,451,1,1,1
FMY530102502,2025-05-17,789102,25891103,386,2025-05-31,2025-05-31,347,0,1,0
FMY531202303,2025-05-17,789202,25891103,308,2025-06-01,2025-06-03,308,1,1,1
FJUN61202103,2025-05-17,789202,25891103,479,2025-05-31,2025-05-31,431,0,0,0
FMY531422103,2025-05-17,789422,25891103,368,2025-06-01,2025-06-01,368,1,1,1
FJUN61422103,2025-05-17,789422,25891103,324,2025-06-01,2025-06-01,324,1,0,0
FMY531703601,2025-05-17,789703,25891601,162,2025-05-31,2025-05-31,154,0,1,0
FJUN61522601,2025-05-17,789522,25891601,90,2025-06-01,2025-06-01,90,1,0,0
FJUN61702601,2025-05-17,789702,25891601,97,2025-05-31,2025-06-03,87,0,0,0
FMY530121601,2025-05-17,789121,25891601,114,2025-06-01,2025-06-01,114,1,1,1
FJUN61103501,2025-05-17,789103,25891402,320,2025-05-30,2025-06-01,288,0,1,0
FMY530303402,2025-05-17,789303,25891402,428,2025-05-30,2025-05-29,428,1,1,1
FJUN61603402,2025-05-17,789603,25891402,431,2025-05-30,2025-05-30,409,0,0,0
FMY531703601,2025-05-17,789703,25891402,297,2025-05-30,2025-05-30,267,0,1,0
FMY531503503,2025-05-17,789503,25891402,267,2025-05-30,2025-06-01,267,1,1,1
FMY530422402,2025-05-17,789422,25891402,308,2025-05-31,2025-05-31,308,1,1,1
FMY530902603,2025-05-17,789902,25891402,337,2025-05-31,2025-05-31,337,1,1,1
FMY530403402,2025-05-17,789403,25891402,500,2025-05-31,2025-06-03,500,1,1,1
FMY531521402,2025-05-17,789521,25891402,486,2025-05-31,2025-05-31,486,1,1,1
FMY530903402,2025-05-17,789903,25891402,303,2025-05-30,2025-05-30,242,0,1,0
FJUN61122402,2025-05-17,789122,25891402,245,2025-05-31,2025-05-31,196,0,0,0
FMY530622603,2025-05-17,789622,25891402,416,2025-05-30,2025-05-30,333,0,1,0
FMY531702402,2025-05-17,789702,25891402,206,2025-05-31,2025-05-31,196,0,1,0
FJUN61702402,2025-05-17,789702,25891402,300,2025-06-01,2025-06-01,285,0,1,0
FJUN61603301,2025-05-17,789603,25891201,480,2025-05-31,2025-05-31,432,0,1,0
FJUN61402401,2025-05-17,789402,25891201,128,2025-06-01,2025-06-02,128,1,1,1
FJUN61422301,2025-05-17,789422,25891201,493,2025-05-31,2025-06-01,493,1,0,0
FMY530503602,2025-05-17,789503,25891201,183,2025-05-30,2025-05-30,183,1,1,1
FMY530703602,2025-05-17,789703,25891201,144,2025-06-01,2025-06-01,144,1,1,1
FJUN61702402,2025-05-17,789702,25891201,403,2025-05-31,2025-05-31,403,1,1,1
